facility_uid,facility_name,address_query,city,zip_code,service_area,source_file,source_page_start
lacdmh-sa1-8422-1,A PAUL KURKJIAN A MED CORP,"2701 ATLANTIC AVE STE C, LONG BEACH, CA 90805-5910",LONG BEACH,90805,SA 1,1127958_PD_ServiceArea_1.pdf,6
lacdmh-sa1-8412-2,ADVANTAGE NEUROPSYCH ASSOC,"1010 W. CHAPMAN AVE., ORANGE, CA 92868-2847",ORANGE,92868,SA 1,1127958_PD_ServiceArea_1.pdf,7
lacdmh-sa1-8416-3,"AHINASI, SONNIA","3501 CEDAR AVE., LONG BEACH, CA 90807-5910",LONG BEACH,90807,SA 1,1127958_PD_ServiceArea_1.pdf,9
lacdmh-sa1-7539-4,ALAFIA MENTAL HEALTH INSTITUTE,"43845 10TH ST. W 2B, LANCASTER, CA 93534-4800",LANCASTER,93534,SA 1,1127958_PD_ServiceArea_1.pdf,10
lacdmh-sa1-8400-5,"AL-ASADI, GHADA","415 W. ROUTE 66 STE. 202, GLENDORA, CA 91740-4335",GLENDORA,91740,SA 1,1127958_PD_ServiceArea_1.pdf,14
lacdmh-sa1-8240-6,"ALEKSANDRA WIRGA, MD","3505 LONG BEACH BLVD. STE. 2D, LONG BEACH, CA 90807-3947",LONG BEACH,90807,SA 1,1127958_PD_ServiceArea_1.pdf,15
lacdmh-sa1-7716-7,ANTELOPE VALLEY KIDZ CONNECTION-SPECIALIZED FOSTER CARE OUTP,"2323 A E. PALMDALE BLVD., PALMDALE, CA 93550-4957",PALMDALE,93550,SA 1,1127958_PD_ServiceArea_1.pdf,24
lacdmh-sa1-1904-8,ANTELOPE VALLEY MHC,"349A E. AVENUE K6, LANCASTER, CA 93535-4548",LANCASTER,93535,SA 1,1127958_PD_ServiceArea_1.pdf,28
lacdmh-sa1-19LL-9,ANTELOPE VALLEY MHC - FULL SERVICE PARTNERSHIP,"251 E AVENUE K6 STE H, LANCASTER, CA 93535-4548",LANCASTER,93535,SA 1,1127958_PD_ServiceArea_1.pdf,37
lacdmh-sa1-8388-10,ASANA INTEGRATED MED GRP,"1600 WEST AVENUE J, LANCASTER, CA 93534-2814",LANCASTER,93534,SA 1,1127958_PD_ServiceArea_1.pdf,41
lacdmh-sa1-8393-11,ASHLEYWILLIAMS COUNSELING,"10900 E. 183RD ST. STE. 105, CERRITOS, CA 90703-7743",CERRITOS,90703,SA 1,1127958_PD_ServiceArea_1.pdf,43
lacdmh-sa1-7756-12,AV WELLNESS AND ENRICHMENT CENTER,"251 H EAST AVENUE K6, LANCASTER, CA 93535-4513",LANCASTER,93535,SA 1,1127958_PD_ServiceArea_1.pdf,44
lacdmh-sa1-8395-13,"BRIAN P MILLER,MD,A PRO CORP","11303 SPRING MEADOW LN., SAN DIEGO, CA 92128",SAN DIEGO,92128,SA 1,1127958_PD_ServiceArea_1.pdf,45
lacdmh-sa1-7967-14,CA MENTOR,"40015 SIERRA HWY. STE. B280, PALMDALE, CA 93550-2143",PALMDALE,93550,SA 1,1127958_PD_ServiceArea_1.pdf,47
lacdmh-sa1-8508-15,CALIFORNIA PSYCHOLOGY CLINIC,"127 BROADWAY SUITE 200, SANTA MONICA, CA 90401-2330",SANTA MONICA,90401,SA 1,1127958_PD_ServiceArea_1.pdf,61
lacdmh-sa1-8010-16,CHAFFEE JON,"301 VICTORIA ST, COSTA MESA, CA 92627",COSTA MESA,92627,SA 1,1127958_PD_ServiceArea_1.pdf,63
lacdmh-sa1-19BE-17,CHILD AND FAMILY CENTER,"190 SIERRA CT UNIT C-3, PALMDALE, CA 93550-7609",PALMDALE,93550,SA 1,1127958_PD_ServiceArea_1.pdf,65
lacdmh-sa1-7225-18,CHILD AND FAMILY GUIDANCE CTR PALMDALE,"40005 10TH ST. W SUITE 106, PALMDALE, CA 93551-3013",PALMDALE,93551,SA 1,1127958_PD_ServiceArea_1.pdf,71
lacdmh-sa1-7301-19,CHILDRENS BUREAU OF SOUTHERN CALIFORNIA,"525 W AVE P4, PALMDALE, CA 93551-3743",PALMDALE,93551,SA 1,1127958_PD_ServiceArea_1.pdf,82
lacdmh-sa1-7473-20,CHILDREN'S BUREAU OF SOUTHERN CALIFORNIA LANCASTER DT,"921 C AVE. J, LANCASTER, CA 93534-3443",LANCASTER,93534,SA 1,1127958_PD_ServiceArea_1.pdf,91
