facility_uid,geocode_query,longitude,latitude,place_name,geocode_status,confidence,relevance,match_code_json,review_status,review_reason,expected_state,returned_state,expected_zip,returned_zip,expected_city,returned_city,expected_county,returned_region_or_county,geography_review_status,geocode_quality_status,geography_status,map_inclusion_status,map_inclusion_reason
lacdmh-sa1-8422-1,"2701 ATLANTIC AVE STE C, LONG BEACH, CA 90805-5910",-118.18681,33.80756,"2701 Atlantic Avenue, UNIT C, Long Beach, California 90806, United States",success,high,,"{""secondary_address"":""matched"",""address_number"":""matched"",""street"":""matched"",""postcode"":""unmatched"",""place"":""matched"",""region"":""matched"",""locality"":""not_applicable"",""country"":""inferred"",""confidence"":""high""}",needs_review,zip_mismatch,CA,CA,90805,90806.0,LONG BEACH,Long Beach,Los Angeles County,Los Angeles County,not_flagged,verified_city_or_zip_mismatch,in_la_county,include_with_warning,address-level match with city or ZIP mismatch warning
lacdmh-sa1-8412-2,"1010 W. CHAPMAN AVE., ORANGE, CA 92868-2847",-117.863132,33.78764,"1010 West Chapman Avenue, Orange, California 92868, United States",success,high,,"{""address_number"":""matched"",""street"":""matched"",""postcode"":""unmatched"",""place"":""matched"",""region"":""matched"",""locality"":""not_applicable"",""country"":""inferred"",""confidence"":""high""}",verified,,CA,CA,92868,92868.0,ORANGE,Orange,Los Angeles County,Orange County,outside_la_county_review,verified_address,outside_la_county,exclude_default_map,correctly geocoded but outside Los Angeles County
lacdmh-sa1-8416-3,"3501 CEDAR AVE., LONG BEACH, CA 90807-5910",-118.196196,33.821082,"3501 Cedar Avenue, Long Beach, California 90807, United States",success,high,,"{""address_number"":""matched"",""street"":""matched"",""postcode"":""unmatched"",""place"":""matched"",""region"":""matched"",""locality"":""not_applicable"",""country"":""inferred"",""confidence"":""high""}",verified,,CA,CA,90807,90807.0,LONG BEACH,Long Beach,Los Angeles County,Los Angeles County,not_flagged,verified_address,in_la_county,include_default_map,verified address in Los Angeles County
lacdmh-sa1-7539-4,"43845 10TH ST. W 2B, LANCASTER, CA 93534-4800",-118.148475,34.680092,"43845 10th Street West, STE 2B, Lancaster, California 93534, United States",success,high,,"{""secondary_address"":""matched"",""address_number"":""matched"",""street"":""matched"",""postcode"":""unmatched"",""place"":""matched"",""region"":""matched"",""locality"":""not_applicable"",""country"":""inferred"",""confidence"":""high""}",verified,,CA,CA,93534,93534.0,LANCASTER,Lancaster,Los Angeles County,Los Angeles County,not_flagged,verified_address,in_la_county,include_default_map,verified address in Los Angeles County
lacdmh-sa1-8400-5,"415 W. ROUTE 66 STE. 202, GLENDORA, CA 91740-4335",-117.869935,34.129059,"415 W Route 66, STE 202, Glendora, California 91740, United States",success,high,,"{""secondary_address"":""matched"",""address_number"":""matched"",""street"":""matched"",""postcode"":""unmatched"",""place"":""matched"",""region"":""matched"",""locality"":""not_applicable"",""country"":""inferred"",""confidence"":""high""}",verified,,CA,CA,91740,91740.0,GLENDORA,Glendora,Los Angeles County,Los Angeles County,not_flagged,verified_address,in_la_county,include_default_map,verified address in Los Angeles County
lacdmh-sa1-8240-6,"3505 LONG BEACH BLVD. STE. 2D, LONG BEACH, CA 90807-3947",-118.18957,33.82064,"3505 Long Beach Boulevard, UNIT 2D, Long Beach, California 90807, United States",success,high,,"{""secondary_address"":""matched"",""address_number"":""matched"",""street"":""matched"",""postcode"":""unmatched"",""place"":""matched"",""region"":""matched"",""locality"":""not_applicable"",""country"":""inferred"",""confidence"":""high""}",verified,,CA,CA,90807,90807.0,LONG BEACH,Long Beach,Los Angeles County,Los Angeles County,not_flagged,verified_address,in_la_county,include_default_map,verified address in Los Angeles County
lacdmh-sa1-7716-7,"2323 A E. PALMDALE BLVD., PALMDALE, CA 93550-4957",-118.085673,34.581397,"2323 East Palmdale Boulevard, #A, Palmdale, California 93550, United States",success,high,,"{""secondary_address"":""plausible"",""address_number"":""matched"",""street"":""matched"",""postcode"":""unmatched"",""place"":""matched"",""region"":""matched"",""locality"":""not_applicable"",""country"":""inferred"",""confidence"":""high""}",verified,,CA,CA,93550,93550.0,PALMDALE,Palmdale,Los Angeles County,Los Angeles County,not_flagged,verified_address,in_la_county,include_default_map,verified address in Los Angeles County
lacdmh-sa1-1904-8,"349A E. AVENUE K6, LANCASTER, CA 93535-4548",-118.124135,34.67002,"349 East Avenue K 6, Lancaster, California 93535, United States",success,low,,"{""address_number"":""unmatched"",""street"":""unmatched"",""postcode"":""unmatched"",""place"":""matched"",""region"":""matched"",""locality"":""not_applicable"",""country"":""inferred"",""confidence"":""low""}",needs_review,low_confidence;address_number_not_matched;street_not_matched,CA,CA,93535,93535.0,LANCASTER,Lancaster,Los Angeles County,Los Angeles County,not_flagged,needs_review_address,in_la_county,manual_review,address match quality needs review
lacdmh-sa1-19LL-9,"251 E AVENUE K6 STE H, LANCASTER, CA 93535-4548",-118.126406,34.670012,"251 East Avenue K 6, STE H, Lancaster, California 93535, United States",success,medium,,"{""secondary_address"":""matched"",""address_number"":""matched"",""street"":""unmatched"",""postcode"":""unmatched"",""place"":""matched"",""region"":""matched"",""locality"":""not_applicable"",""country"":""inferred"",""confidence"":""medium""}",needs_review,medium_confidence;street_not_matched,CA,CA,93535,93535.0,LANCASTER,Lancaster,Los Angeles County,Los Angeles County,not_flagged,needs_review_address,in_la_county,manual_review,address match quality needs review
lacdmh-sa1-8388-10,"1600 WEST AVENUE J, LANCASTER, CA 93534-2814",-118.159166,34.688109,"1600 West Avenue J, Lancaster, California 93534, United States",success,high,,"{""address_number"":""matched"",""street"":""matched"",""postcode"":""unmatched"",""place"":""matched"",""region"":""matched"",""locality"":""not_applicable"",""country"":""inferred"",""confidence"":""high""}",verified,,CA,CA,93534,93534.0,LANCASTER,Lancaster,Los Angeles County,Los Angeles County,not_flagged,verified_address,in_la_county,include_default_map,verified address in Los Angeles County
